owner,reactor,stir_speed_rpm,volume_fill_L,kLa_per_sec
Nalas,EasyMax 102,100,0.065,0.0063
Nalas,EasyMax 102,200,0.065,0.01
Nalas,EasyMax 102,400,0.065,0.023
Nalas,EasyMax 102,500,0.065,0.024
Nalas,EasyMax 102,600,0.065,0.057
Nalas,EasyMax 102,700,0.065,0.14
Nalas,EasyMax 102,1000,0.065,0.34
Nalas,EasyMax 102,400,0.1,0.0065
Nalas,EasyMax 102,500,0.1,0.0072
Nalas,EasyMax 102,700,0.1,0.0093
Nalas,EasyMax 102,1000,0.1,0.014
Nalas,EasyMax 102,1000,0.1,0.02
Nalas,EasyMax 102,100,0.05,0.011
Nalas,EasyMax 102,100,0.065,0.0063
Nalas,EasyMax 102,100,0.08,0.0051